,UniqueKey,index,CreatedDate,ClosedDate,Agency,AgencyName,ComplaintType,Descriptor,LocationType,IncidentZip,IncidentAddress,StreetName,CrossStreet1,CrossStreet2,IntersectionStreet1,IntersectionStreet2,AddressType,City,Landmark,FacilityType,Status,DueDate,ResolutionDescription,ResolutionActionUpdatedDate,CommunityBoard,Borough,XCoordinate(StatePlane),YCoordinate(StatePlane),ParkBorough,SchoolNotFound,Latitude,Longitude,Location
10,36643074,56370,07/08/2017 09:43:38 AM,07/08/2017 12:13:10 PM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10011.0,120 WEST 24 STREET,WEST 24 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,,Closed,07/08/2017 02:08:18 PM,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",07/08/2017 12:13:10 PM,04 MANHATTAN,MANHATTAN,"986,147","210,303",MANHATTAN,N,40.74390954950408,-73.99315405154766,"(40.74390954950408, -73.99315405154765)"
11,37561375,62723,10/30/2017 10:59:50 PM,10/31/2017 01:54:06 AM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10001.0,107 WEST 25 STREET,WEST 25 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,,Closed,10/31/2017 03:52:02 AM,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",10/31/2017 01:54:06 AM,04 MANHATTAN,MANHATTAN,"986,353","210,491",MANHATTAN,N,40.7444255159069,-73.99241057401284,"(40.744425515906904, -73.99241057401285)"
12,25414821,64215,04/23/2013 10:21:00 AM,05/13/2013 12:30:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10001.0,133 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,05/13/2013 12:30:00 PM,04 MANHATTAN,MANHATTAN,"986,207","210,572",MANHATTAN,,40.744647874155895,-73.99293744354459,"(40.744647874155895, -73.99293744354459)"
13,20600124,64851,06/08/2011 12:31:00 PM,06/10/2011 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E11 Litter Surveillance,Sidewalk,10010.0,,,,,WEST 25 STREET,6 AVENUE,INTERSECTION,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/10/2011 12:00:00 PM,04 MANHATTAN,MANHATTAN,"986,503","210,404",MANHATTAN,,40.74418668572297,-73.99186927462867,"(40.74418668572297, -73.99186927462867)"
14,37336542,85615,10/02/2017 11:19:31 AM,10/02/2017 02:59:40 PM,NYPD,New York City Police Department,Homeless Encampment,,Street/Sidewalk,10010.0,,,,,WEST   25 STREET,6 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,10/02/2017 07:19:31 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/02/2017 02:59:40 PM,04 MANHATTAN,MANHATTAN,"986,503","210,404",MANHATTAN,N,40.74418668572297,-73.99186927462867,"(40.74418668572297, -73.99186927462867)"
15,36329299,87725,06/01/2017 01:53:17 PM,06/19/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10001.0,112 WEST   25 STREET,WEST   25 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,06/19/2017 12:00:00 AM,04 MANHATTAN,MANHATTAN,"986,316","210,504",MANHATTAN,,40.74446120637629,-73.99254409772298,"(40.7444612063763, -73.99254409772298)"
16,28295406,88953,06/19/2014 06:25:00 PM,06/24/2014 08:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10001.0,,,W 25 ST,7 AVE,WEST 25 STREET,7 AVENUE,INTERSECTION,NEW YORK,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/24/2014 08:30:00 PM,04 MANHATTAN,MANHATTAN,"985,716","210,840",MANHATTAN,,40.7453835620819,-73.99470933975887,"(40.7453835620819, -73.99470933975887)"
17,35710428,210126,03/15/2017 01:32:00 PM,03/15/2017 01:35:00 PM,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,10001.0,168 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/15/2017 01:35:00 PM,04 MANHATTAN,MANHATTAN,"986,002","210,678",MANHATTAN,,40.744938860615015,-73.99367723405653,"(40.744938860615015, -73.99367723405653)"
18,37837198,211763,12/02/2017 10:31:00 AM,12/04/2017 12:00:00 PM,DSNY,Manhattan 04,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10011.0,141 WEST   24 STREET,WEST   24 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,12/04/2017 12:00:00 PM,04 MANHATTAN,MANHATTAN,"986,037","210,371",MANHATTAN,,40.74409621541729,-73.99355100466023,"(40.74409621541729, -73.99355100466023)"
19,29193615,237138,10/31/2014 03:43:49 PM,05/14/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10001.0,137 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,,Closed,04/08/2015 10:00:58 AM,"The City inspected the property for cleaning, but no graffiti was found.",05/29/2015 03:38:25 PM,04 MANHATTAN,MANHATTAN,"986,184","210,584",MANHATTAN,,40.74468081621293,-73.99302044407858,"(40.74468081621293, -73.99302044407858)"
20,29943124,245025,02/14/2015 04:31:00 PM,02/20/2015 02:00:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Chimney or vent (AS1)",,10001.0,127 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/20/2015 02:00:00 PM,04 MANHATTAN,MANHATTAN,"986,240","210,553",MANHATTAN,,40.74459571654578,-73.9928183564927,"(40.74459571654578, -73.9928183564927)"
21,34219219,254948,08/31/2016 02:56:00 PM,09/02/2016 12:00:00 PM,DSNY,A - Manhattan,Other Enforcement,E3B Sidewalk Obstruction,Sidewalk,10011.0,149 WEST   24 STREET,WEST   24 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/02/2016 12:00:00 PM,04 MANHATTAN,MANHATTAN,"985,993","210,396",MANHATTAN,,40.744164842948216,-73.99370978709821,"(40.74416484294822, -73.99370978709821)"
22,34223146,254996,08/31/2016 02:53:00 PM,09/02/2016 12:00:00 PM,DSNY,A - Manhattan,Other Enforcement,E3B Sidewalk Obstruction,Sidewalk,10011.0,149 WEST   24 STREET,WEST   24 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/02/2016 12:00:00 PM,04 MANHATTAN,MANHATTAN,"985,993","210,396",MANHATTAN,,40.744164842948216,-73.99370978709821,"(40.74416484294822, -73.99370978709821)"
23,31355073,258290,08/20/2015 08:32:00 AM,08/24/2015 03:07:00 PM,DEP,Department of Environmental Protection,Water Conservation,Illegal Use Of A Hydrant (CIN),,10001.0,,,W 24 ST,7 AVE,WEST 24 STREET,7 AVENUE,INTERSECTION,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint. No violation was found or issued.,08/24/2015 03:07:00 PM,04 MANHATTAN,MANHATTAN,"985,593","210,613",MANHATTAN,,40.74476052345636,-73.99515328086255,"(40.74476052345636, -73.99515328086254)"
24,30622627,281233,05/14/2015 12:05:00 PM,05/20/2015 02:15:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,10001.0,112 WEST   25 STREET,WEST   25 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/20/2015 02:15:00 PM,04 MANHATTAN,MANHATTAN,"986,316","210,504",MANHATTAN,,40.74446120637629,-73.99254409772298,"(40.7444612063763, -73.99254409772298)"
25,30726930,284102,05/29/2015 08:37:00 AM,06/03/2015 01:00:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,10011.0,142 WEST   24 STREET,WEST   24 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/03/2015 01:00:00 PM,04 MANHATTAN,MANHATTAN,"986,023","210,372",MANHATTAN,,40.744098962985184,-73.99360152814282,"(40.74409896298519, -73.99360152814282)"
26,30004770,296116,02/21/2015 08:56:00 PM,02/22/2015 09:55:00 AM,DEP,Department of Environmental Protection,Water System,High Water Pressure (WHP),,10011.0,145 WEST   24 STREET,WEST   24 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,02/22/2015 09:55:00 AM,04 MANHATTAN,MANHATTAN,"986,015","210,383",MANHATTAN,,40.74412915683523,-73.99363039596953,"(40.74412915683523, -73.99363039596953)"
27,30241402,503321,03/23/2015 10:56:00 AM,03/23/2015 10:57:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10010.0,,,W 24 ST,6 AVE,WEST 24 STREET,6 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",03/23/2015 10:57:00 AM,04 MANHATTAN,MANHATTAN,"986,378","210,179",MANHATTAN,,40.74356914792079,-73.9923204513036,"(40.74356914792079, -73.9923204513036)"
28,32049161,515557,11/23/2015 11:15:00 AM,11/30/2015 11:45:00 AM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Vehicular (AA4)",,10001.0,127 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/30/2015 11:45:00 AM,04 MANHATTAN,MANHATTAN,"986,240","210,553",MANHATTAN,,40.74459571654578,-73.9928183564927,"(40.74459571654578, -73.9928183564927)"
29,31344866,527938,08/19/2015 07:25:00 PM,08/19/2015 07:25:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10011.0,159 WEST   24 STREET,WEST   24 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,08/19/2015 07:25:00 PM,04 MANHATTAN,MANHATTAN,"985,936","210,427",MANHATTAN,,40.74424994124713,-73.99391548336312,"(40.744249941247126, -73.99391548336312)"
30,31348826,528071,08/19/2015 07:27:00 PM,08/25/2015 11:10:00 AM,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,10011.0,159 WEST   24 STREET,WEST   24 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",08/25/2015 11:10:00 AM,04 MANHATTAN,MANHATTAN,"985,936","210,427",MANHATTAN,,40.74424994124713,-73.99391548336312,"(40.744249941247126, -73.99391548336312)"
31,31362837,528569,08/21/2015 07:45:00 AM,08/28/2015 10:15:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10001.0,250 7 AVENUE,7 AVENUE,W 24 ST,W 25 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",08/28/2015 10:15:00 AM,04 MANHATTAN,MANHATTAN,"985,666","210,755",MANHATTAN,,40.74515026651931,-73.99488980309188,"(40.74515026651931, -73.99488980309187)"
32,31363892,528624,08/21/2015 07:46:00 AM,08/28/2015 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10010.0,739 6 AVENUE,6 AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",08/28/2015 09:30:00 AM,04 MANHATTAN,MANHATTAN,"986,423","210,266",MANHATTAN,,40.74380793023998,-73.99215802672572,"(40.74380793023998, -73.99215802672572)"
33,32960484,552683,03/22/2016 02:56:00 PM,03/22/2016 06:05:00 PM,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,10001.0,112 WEST   25 STREET,WEST   25 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,03/22/2016 06:05:00 PM,04 MANHATTAN,MANHATTAN,"986,316","210,504",MANHATTAN,,40.74446120637629,-73.99254409772298,"(40.7444612063763, -73.99254409772298)"
34,32962541,552753,03/22/2016 03:00:00 PM,03/25/2016 11:00:00 AM,DEP,Department of Environmental Protection,Air Quality,Air: Other Air Problem (Use Comments) (AZZ),,10001.0,112 WEST   25 STREET,WEST   25 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/25/2016 11:00:00 AM,04 MANHATTAN,MANHATTAN,"986,316","210,504",MANHATTAN,,40.74446120637629,-73.99254409772298,"(40.7444612063763, -73.99254409772298)"
35,32160960,558123,12/08/2015 02:02:00 PM,12/10/2015 05:30:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Vehicular (AA4)",,10011.0,148 WEST   24 STREET,WEST   24 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/10/2015 05:30:00 PM,04 MANHATTAN,MANHATTAN,"985,990","210,390",MANHATTAN,,40.74414837503922,-73.99372061517859,"(40.74414837503923, -73.9937206151786)"
36,32176995,558613,12/10/2015 12:23:00 AM,12/10/2015 02:35:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),,10001.0,,,W 24 ST,7 AVE,WEST 24 STREET,7 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/10/2015 02:35:00 AM,04 MANHATTAN,MANHATTAN,"985,593","210,613",MANHATTAN,,40.74476052345636,-73.99515328086255,"(40.74476052345636, -73.99515328086254)"
37,32226091,560100,12/18/2015 05:03:00 PM,12/23/2015 02:15:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10001.0,127 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/23/2015 02:15:00 PM,04 MANHATTAN,MANHATTAN,"986,240","210,553",MANHATTAN,,40.74459571654578,-73.9928183564927,"(40.74459571654578, -73.9928183564927)"
38,32262124,560894,12/23/2015 12:24:00 PM,12/24/2015 01:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10011.0,152 WEST   24 STREET,WEST   24 STREET,6 AVE,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/24/2015 01:45:00 PM,04 MANHATTAN,MANHATTAN,"985,967","210,403",MANHATTAN,,40.74418406128416,-73.99380361522226,"(40.74418406128416, -73.99380361522226)"
39,32387340,564102,01/11/2016 03:41:00 PM,01/11/2016 05:55:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10001.0,,,7 AVE,W 24 ST,7 AVENUE,WEST 24 STREET,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/11/2016 05:55:00 PM,04 MANHATTAN,MANHATTAN,"985,593","210,613",MANHATTAN,,40.74476052345636,-73.99515328086255,"(40.74476052345636, -73.99515328086254)"
40,24892612,176932507,01/29/2013 10:47:17 AM,02/14/2013 01:06:53 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,10010.0,750 6 AVENUE,6 AVENUE,WEST 24 STREET,WEST 25 STREET,,,ADDRESS,NEW YORK,,,Closed,02/13/2013 02:34:31 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",02/14/2013 01:06:53 AM,05 MANHATTAN,MANHATTAN,"986,471","210,341",MANHATTAN,N,40.74401377456903,-73.99198477843711,"(40.74401377456903, -73.99198477843711)"
41,24894531,176933792,01/29/2013 02:34:12 PM,02/05/2013 03:27:45 PM,FDNY,Bureau of Fire Prevention - Alarm Unit - Inspections,Fire Alarm - Reinspection,For Letter of Defect,Street Address,10010.0,735 6 AVENUE,6 AVENUE,WEST 24 STREET,WEST 25 STREET,,,ADDRESS,NEW YORK,,,Closed,02/03/2013 02:34:12 PM,See Notes to Customer,02/05/2013 03:27:45 PM,04 MANHATTAN,MANHATTAN,"986,398","210,222",MANHATTAN,N,40.74368716734252,-73.99224826136219,"(40.74368716734252, -73.99224826136218)"
42,24899832,176937447,01/30/2013 09:36:00 AM,02/01/2013 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,"E4 18"" Law",Street,10001.0,,,7 AVENUE,WEST 25 STREET,7 AVENUE,WEST 25 STREET,INTERSECTION,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/01/2013 12:00:00 PM,04 MANHATTAN,MANHATTAN,"985,716","210,840",MANHATTAN,,40.7453835620819,-73.99470933975887,"(40.7453835620819, -73.99470933975887)"
43,24906459,176942070,01/31/2013 07:11:00 PM,02/01/2013 12:00:00 PM,DSNY,Manhattan 04,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10001.0,126 WEST 25 STREET,WEST 25 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,02/01/2013 12:00:00 PM,04 MANHATTAN,MANHATTAN,"986,238","210,548",MANHATTAN,,40.744581993246676,-73.99282557570271,"(40.744581993246676, -73.9928255757027)"
44,24926066,176956806,02/02/2013 01:31:18 PM,03/05/2013 01:11:39 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10001.0,255 7 AVENUE,7 AVENUE,WEST 24 STREET,WEST 25 STREET,,,ADDRESS,NEW YORK,,,Closed,02/23/2013 01:31:18 PM,General maintenance and cleaning is on a regular schedule. The next scheduled maintenance and cleaning will correct the condition.,03/05/2013 01:11:39 PM,04 MANHATTAN,MANHATTAN,"985,678","210,766",MANHATTAN,N,40.745180456834994,-73.99484649400299,"(40.745180456834994, -73.99484649400299)"
